comment,entities
"çok kaliteli olduğunu söyleyemem ama fiyat kalite olarak alınabilir. aspiratörün ölçüleri mi standarda göre küçük yoksa bizim dolapları yapan mı çok yer bıraktı bilemiyorum 3-4 cm küçük geldi...
işim görüldü şükür","[('çok kaliteli olduğunu söyleyemem ama fiyat kalite olarak alınabilir', 'PERSON'), ('ölçüleri', 'LANGUAGE'), ('mi standarda göre küçük yoksa', 'PERSON'), ('yapan', 'GPE'), ('çok', 'ORG'), ('3-4 cm küçük geldi', 'QUANTITY')]"
Kargo hızlı şekilde elime ulaştı çayı sıcak tutma ayarı sayesinde suyu sogutmuyor kesinlikle tavsiye ederim,"[('Kargo', 'ORG')]"
müzik dinlemek için güzel ancak telefonla konuşurken karşı tarafa ses yankı yapıyormuş,"[('müzik dinlemek', 'PERSON')]"
"Olumlu yönleri: Urun gayet iyi kullanisli ve kaliteli

Olumsuz yönleri: Ama magaza belirttigim rengin disinda bir renk gondermis bundan dolayi setim bozuldu iadeyle ugrasmadim","[('Olumsuz', 'GPE'), ('gondermis bundan dolayi setim', 'PERSON')]"
"Hayatımda bu kadar kötü bir teknolojik ürüne denk gelmemiştim. Hem malzeme kalitesi çok kötü hem de içi dağınık geldi. Ürün fiyatının yüzde ellisi kadar kurulum ücreti vermemek için kendimiz açtığımızdan bir motor ustası gibi işlem yapmak durumunda kaldık. Eğer vidalama ve elektrik işlerinden anlamıyorsanız asla tercih etmemelisiniz.
Ürün performansına gelince de güçsüz motor ve tek filtreli yapısıyla uzak durulması gereken bir ürün.","[('Hayatımda', 'ORG'), ('kadar kötü', 'PERSON'), ('Hem', 'PERSON'), ('kalitesi çok kötü', 'PERSON'), ('hem de içi dağınık geldi', 'ORG'), ('Ürün fiyatının', 'PERSON'), ('yüzde', 'ORG'), ('ellisi', 'PRODUCT'), ('kurulum ücreti', 'PERSON'), ('vermemek', 'ORG'), ('kendimiz açtığımızdan bir motor ustası', 'PERSON'), ('durumunda kaldık', 'PERSON'), ('ve elektrik', 'PERSON'), ('Ürün', 'PERSON'), ('filtreli', 'NORP')]"
"Alalı 1 hafta oldu ve ilk izlenilerim;
 Fotoğraf kalitesi beklentimden daha iyi incelemelerde düşük ışıkta yetersiz kaldığı belirtiliyordu fakat akşam denemelerinde dahi gayet başarılı çekim yapıyor,
Pili 1 günden uzun dayanıyor ancak orjinal cihazla dahi yaklaşık 3 saatte doluyor,
şarj cihazı avrupaya uygun yanında adaptörü ile geliyor ancak birkilte biraz büyük oluyor,
genel performans ve oyun performansı gayet başarılı,
Sinyal çekim kalitesi ve internet bağlantı hızı gayet başarılı daha önceki telefonuma göre açık ara daha iyi.
Yanında gelen kılıf geri çıkarması çok zor olsada gayet iyi koruyucu vazife görüyor.","[('Alalı 1', 'PRODUCT'), ('Fotoğraf', 'ORG'), ('yapıyor', 'ORG'), ('Pili 1', 'PERSON'), ('3', 'CARDINAL'), ('saatte doluyor', 'ORG'), ('şarj cihazı avrupaya', 'PERSON'), ('yanında', 'GPE'), ('ile geliyor', 'PERSON'), ('birkilte biraz büyük oluyor', 'PERSON'), ('Sinyal', 'ORG'), ('önceki', 'ORG'), ('Yanında', 'GPE'), ('kılıf geri', 'PERSON'), ('çok zor olsada', 'ORG')]"
alalı bir hafta olmadı  arızalandı aspiratör bi çalışıyor bi çalışmıyor,"[('alalı bir hafta olmadı  arızalandı', 'ORG'), ('çalışmıyor', 'ORG')]"
"Ürün iyi ve Kullanışlı fakat ezilme var Mağazadan mı kargodan mı
bilemedim paket param parçaydı bana geldiğinde idare eder","[('Kullanışlı', 'PERSON'), ('Mağazadan', 'PERSON'), ('kargodan mı\nbilemedim', 'PERSON')]"
Fiyata göre çok başarısız bir ürün,"[('Fiyata', 'ORG')]"
"Sorumlusundan dağıtıcısına kadar seri yalan söyleyen bir firma illaki bu firmayla kargo göndermek zorundamisiniz.
Cuma gelen ürünü Pazartesi zorla şubeden ancak teslim alabildim.","[('Sorumlusundan', 'PERSON'), ('seri yalan', 'ORG'), ('göndermek zorundamisiniz', 'PERSON'), ('Cuma', 'PERSON'), ('Pazartesi', 'GPE')]"
ürün iyi firma iyi deyil  tavsiye etmem,[]
Bu ürünün tutma kolunda tasarım hatası var belli bir süre sonra kırılıyor kumanda kısmı almadan önce bir araştırın. Servisle temasa geçtim başta kullanıcı hatası dendi ısrar edince bir kereye mahsus olmak üzere değişim yaptılar. Ama tekrar olursa ücretli olarak satın almak zorundayım. Birde kumanda dışında ana kasa üzerinde çekim gücü ayarlaması için bir tuş mevcut olsa daha iyi olurdu.,"[('Bu ürünün', 'PERSON'), ('kolunda', 'GPE'), ('kumanda', 'GPE'), ('kısmı almadan', 'PERSON'), ('ücretli olarak', 'PRODUCT'), ('Birde kumanda', 'PERSON'), ('dışında ana kasa', 'PERSON')]"
urun ıyi güzel ama bekledigim gibi performans vermedi az cikiyo sesi,"[('urun ıyi güzel', 'ORG'), ('ama bekledigim gibi', 'PERSON')]"
Çok rahatsız ediyor hiç güzel sesi Yok,"[('Çok', 'PERSON'), ('Yok', 'PERSON')]"
Açıkçası tepsiler fırına sığmıyor.Kalite çok düşük.  Biraz daha para verip daha iyisini almak daha iyiymiş.,"[('Açıkçası', 'ORG'), ('Biraz', 'ORG')]"
Dibinde olduğunuz sürece sıkıntı yok ama bu aletlerin mantığı bu değildi sanırım :),"[('aletlerin mantığı', 'PERSON')]"
Bes para etmez sakin almayin musteri sikayet hattini aramaktan sinirlerim bozuldu paraniza ve piskolojinize yazik,"[('aramaktan sinirlerim', 'ORG')]"
fiyat performans açısından çok kullanışlı tek sıkıntısı yüksek ses te dışarıdan duyuluyor.,"[('fiyat', 'ORG'), ('performans', 'NORP'), ('açısından çok kullanışlı tek', 'PERSON')]"
fiyat performans oranı gayet iyi,"[('performans', 'NORP')]"
beklediğim gibi değil sesi çok az malesef . önermiyorum,"[('değil', 'PERSON'), ('çok az', 'PERSON')]"
çok iyi çekiyor tek sıkıntı flitre temizlemekten bıktım,[]
"Ürünü piyasanın en uygun fiyatına almış oldum ve oldukça kısa zamanda elime ulaştı. İlk kullanımda da kendini gösterdi gayet iyi bir ürün, çekim gücü çok iyi beklentilerimizi karşıladığını söyleyebiliriz","[('oldum', 'CARDINAL'), ('oldukça kısa zamanda', 'PERSON'), ('kullanımda da kendini gösterdi', 'PERSON')]"
ürünü ve satıcı magazayı herkese tavsiye ederim,"[('magazayı herkese', 'PERSON')]"
"Mağaza çok karektersiz kırık ürünü bile bile yolluyor kargoda mı kırıldı
diye kutuya baktım ama eminin kırık ürün göndermiş","[('Mağaza', 'GPE'), ('karektersiz kırık', 'PERSON'), ('yolluyor kargoda', 'PERSON'), ('kırıldı', 'PERSON'), ('diye kutuya baktım', 'PERSON')]"
Performansı çok yüksek,[]
"ürün yapışkani kaliteli değil.aldiginiza değmez.üçüncu kullanista
yapışkan kendini bıraktı .","[('yapışkani kaliteli', 'PERSON'), ('kullanista', 'NORP'), ('yapışkan', 'ORG'), ('kendini bıraktı', 'PERSON')]"
evet ürünü kullanıp gorecegiz,"[('kullanıp', 'PERSON')]"
Cok Guzel begendm AMA Kapak kenarı kırık geldı çok üzüldüm .kargo taşınırken dikkat edilmeli yaa sonuçta o kadar bekliyoruz ve sonra bunun ıade işlemleri var gerçekten hos değil,"[('Cok Guzel', 'PERSON'), ('AMA Kapak', 'ORG'), ('çok üzüldüm', 'PERSON'), ('yaa', 'ORG'), ('kadar bekliyoruz', 'PERSON'), ('değil', 'PERSON')]"
"Su damlatma sorunu yaşamadım. Önceki ütüm de Philips'ti, ondan da çok memnundum. Bunun tabanı oldukça kaygan, ütülemeyi kolaylaştırıyor.Buhar gücüne rağmen suyu çok çok çabuk bitiyor diyemem. bence kırışıkları güzel çözüyor. Ütü yerine mucize arayanlar beğenmemiş sanırım. Mucize değil, iyi bir ütü almak isteyen düşünmesin alsın","[('damlatma sorunu', 'PERSON'), ('Önceki', 'GPE'), (""de Philips'ti"", 'PERSON'), ('ondan da çok', 'PERSON'), ('Bunun', 'NORP'), ('oldukça kaygan', 'PERSON'), ('ütülemeyi kolaylaştırıyor', 'PERSON'), ('çok', 'ORG'), ('bitiyor diyemem', 'PERSON'), ('bence kırışıkları güzel çözüyor', 'PERSON'), ('yerine', 'CARDINAL'), ('Mucize değil', 'PERSON')]"
Ürün elime bu gün geldi. Hızlı kargo ürün gayet kaliteli. Daha büyük beklerdim ve Subwoofer'da logitech yazmaması üzdü. Ama ürünün kutusunda da bu şekilde yazmıyor. Masamın altında olduğu için problem etmiyorum. Gayet kaliteli bir görünümü ve güçlü sesi var. Müzik çalmazken dip sesi var gibi ama tam test edemedim. Ama ses kalitesi ve görünüşü gayet güzel orta düzey bir 2+1 için yeterli.,"[('gün geldi', 'PERSON'), ('gayet kaliteli', 'PERSON'), (""Subwoofer'da"", 'ORG'), ('ürünün kutusunda da bu şekilde yazmıyor', 'PERSON'), ('Masamın altında olduğu', 'ORG'), ('için', 'DATE'), ('Gayet kaliteli', 'PERSON'), ('Müzik', 'PERSON'), ('2', 'CARDINAL')]"
"2016 yılından beri kullanıyorum ancak kablosu sürekli sorun çıkardı. Bir kere değişime gitti, sadece kablosu değiştirilip gönderildi. Onun üzerine 2 kere daha kablosunu değiştirdim. Açısını bulunca şarj ediyor ancak hareket edince şarj etmiyor. Aynı sorun aynı modele sahip arkadaşımda da var. Kablosu kısa,  biraz daha uzun olabilirdi. 
Bir de belirli şarj aletleri ile şarj oluyor. Samsung'un bluetooth kulaklığı ile gelen şarj aleti ile kesinlikle şarj olmuyor. Tasarımı şık, açısını bulunca güzel şarj ediyor ama.","[('2016', 'DATE'), ('beri kullanıyorum', 'PERSON'), ('kablosu sürekli', 'PERSON'), ('sadece kablosu değiştirilip gönderildi', 'PERSON'), ('Onun', 'ORG'), ('2', 'CARDINAL'), ('kablosunu', 'PERSON'), ('Açısını', 'PERSON'), ('şarj', 'PERSON'), ('Kablosu', 'PERSON'), ('biraz daha uzun olabilirdi', 'ORG'), ('Bir de belirli', 'PERSON'), ('aletleri ile şarj oluyor', 'PERSON'), ('şarj aleti ile kesinlikle', 'PERSON'), ('şarj olmuyor', 'PERSON'), ('Tasarımı', 'GPE'), ('şık', 'GPE'), ('açısını bulunca', 'PERSON'), ('şarj', 'PERSON')]"
Ürün görsel anlamda güzel. Kurulumu kolay. yazılım sürüm yüklemeye gerek yok. hız açısında diğer kullandığım modeme göre hemen hemen az çok fark ediyor. üstündeki kilit tuşunu hala anlıyamadım. bassamda aynı basmasamda. kullanım için klavuzunda dataylı bir bilgide yok.,"[('Kurulumu kolay', 'PERSON'), ('yüklemeye gerek yok', 'PERSON'), ('açısında', 'PERSON'), ('kullandığım modeme', 'PERSON'), ('az çok', 'PERSON'), ('üstündeki kilit tuşunu hala', 'PERSON'), ('klavuzunda', 'GPE')]"
"Ürünü alıp denedikten sonra iade etmek durumunda kaldım. Ses ve ANC olarak oldukça başarılı olsa da kulaklarımı çok rahatsız etti. Farklı eartip bouytlarını da denedim ancak olumlu bir sonuç alamadım. Daha önce farklı kulakiçi kulaklar kullandım (Sennheiser CX400-ii, Sennheiser CX 200, Anker Soundbuds Curve) ve pek çok farklı modeli deneme fırsatım da oldu ama herhangi bir kulakiçi kulaklığın beni bu kadar rahatsız ettiğini pek hatırlamıyorum. Denemeden satın almamanızda fayda var.","[('durumunda kaldım', 'ORG'), ('ANC', 'ORG'), ('da kulaklarımı çok', 'PERSON'), ('Sennheiser CX400-ii', 'ORG'), ('Sennheiser CX 200', 'ORG'), ('Anker Soundbuds Curve', 'ORG'), ('kulaklığın beni', 'PERSON'), ('ettiğini pek', 'PERSON'), ('Denemeden', 'GPE')]"
ürünü henüz kullanmadım,"[('henüz kullanmadım', 'PERSON')]"
"Tefal  marka olarak beğendiğim kurumsal bir üretici, teşekkürler.","[('Tefal', 'NORP'), ('üretici', 'PERSON')]"
Çaydanlık çok güzel ama iki haftadır uğraşıyorum istediğim demi çıkaramadım. 😢 üst kısımda çay haznesi yok. Kullanmaya başlayalı 3 hafta olacak çaylar çok kötü. Su kaynarken eğer su yarıda ise termostat kesinlikle atmıyor.,"[('iki haftadır', 'PERSON'), ('Kullanmaya', 'PERSON'), ('3', 'CARDINAL'), ('Su kaynarken eğer', 'PERSON')]"
"Ürünün 3 tane teli eksikti. Ambalajı şeffaf olduğu için görülebilirdi.
Bilinçli olarak gönderilmiş hissiyatı uyandırdı. Hakkı'mı helal
ediyormuyum hayır.   Ürün telleri eksik olarak gönderilmiş. Halbuki
ambalajı şeffaftı. Dikkatli bakılsa farkedilirdi. Geri göndermiyorum ama
hakkımıda helal etmiyorum.","[('3', 'CARDINAL'), ('Bilinçli', 'FAC'), ('Ürün', 'PERSON'), ('Dikkatli', 'ORG'), ('helal etmiyorum', 'PERSON')]"
İndirimdeyken almıştım hızlı teslimat kaliteli ürün,[]
"demliğin içindeki süzgeç yukarı kadar olmadığı için çay doldururken tortular bardağa geliyor. bu yüzden üst kısma çok fazla çay doldurulamıyor. Eski Arçelik çaycımızda süzgeç yukarı kadardı , hiç böyle bir sorun yaşamamıştık. sadece görüntü güzel","[('Eski Arçelik çaycımızda', 'PERSON'), ('sadece görüntü güzel', 'PERSON')]"
Gelmediki gelmeyen ürünün nesini yazayım,"[('Gelmediki', 'ORG'), ('ürünün nesini yazayım', 'PERSON')]"
çok çabuk geldi hepsiburada iyi o konuda ama ürün gereksiz bence çok da şey yapmayın.,"[('çok', 'ORG'), ('çabuk', 'NORP'), ('geldi hepsiburada', 'PERSON'), ('gereksiz bence çok da şey', 'PERSON')]"
Olumsuz yönleri: Ben tefalin her türlü ürününü kulalndım hepsinden de çok memnun kalmışımdır. Kalitesinden kesinlikle emin olduğum bir marka. Fakat bir tek bu ütü de çok memnun kalamadım. Açıkcası buhar gücü ve kırışıklık açma konsunda Tefal e yakışır bir kalite olmamış. Tavsiye edebileceğim bir ürün değil.,"[('Olumsuz', 'ORG'), ('yönleri', 'PRODUCT'), ('Ben tefalin', 'PERSON'), ('kulalndım hepsinden de çok', 'PERSON'), ('Kalitesinden', 'GPE'), ('konsunda Tefal', 'PERSON'), ('değil', 'PERSON')]"
"Gündelik hayatta kullanıma uygun ve şık bir cihaz. Eşime aldım ve çok memnun. Ancak güncelleme işlemini aksatırsanır, zamanla yavaşlıyor. Güncellemelere özen göstermelisiniz.",[]
"Kulaklık rengini heralde kafalarına göre seçiyolar,şansımıza mavi
gelmiş. Kulaklık orta kalite. Fatura yok.","[('Kulaklık', 'ORG'), ('göre seçiyolar', 'PERSON'), ('Fatura', 'GPE')]"
Ürün kapaksız olarak geldi.,"[('olarak geldi', 'PERSON')]"
09/08/2017de 700 tlye aldım. Nakliye kurulum her aşamasından memnunum makine de gayet güzel tavsiye ederim,"[('09/08/2017de 700', 'CARDINAL'), ('Nakliye', 'ORG')]"
Bozuk ürün almayın sağdan ses gelmiyor ve hışırtılı ses geliyor.,"[('Bozuk', 'GPE')]"
İlk kullanımda bıçak dişlisi bozuldu. Garaniden yapıldı. 3 ay sonra tekrar aynı sorun oldu bu kez kullanıcı hatası dediler ve tamir için 90 tl istediler. Gerçekten berbat bir deneyimdi.,"[('kullanımda', 'PERSON'), ('Garaniden', 'PERSON'), ('3', 'CARDINAL'), ('tamir için', 'PERSON'), ('90', 'CARDINAL')]"
anlatıldığı gibi herhangi bir sorun yok,[]
"amazzondan güvenle aldık, anneme aldık kullanıyor.  Memnunuz.","[('amazzondan güvenle aldık', 'PERSON'), ('aldık kullanıyor', 'PERSON'), ('Memnunuz', 'ORG')]"
"TEFAL FV9848 BUHAR ÇIKARMAYAN,SU AKITAN SÜPER ÜTÜSÜ, DİLAN ÖZKUL ADINDA SATICI TARAFINDAN TRENDYOL SİTESİNDE SATILIYOR.İADE ETTİĞİM ÜRÜNÜ AYIBINI TEMİZLEMEK İÇİN DEĞİŞTİRMEK YERİNE AYNI ŞEKİLDE BAKMADAN GERİ GÖNDEREN,AYIPLI ÜRÜNÜ MÜŞTERİYE KAPTIRMAYA ÇALIŞAN BİR SATICI. BU TUZAKLARA GEREKEN DERSİ VERMEK LAZIM.","[('TEFAL', 'ORG'), ('ÖZKUL ADINDA', 'PERSON'), ('TRENDYOL', 'GPE'), ('AYIPLI', 'ORG'), ('MÜŞTERİYE KAPTIRMAYA ÇALIŞAN BİR SATICI', 'ORG')]"
Ürün f/p oranı çok düşük malzeme çok kalitesiz. Sürgülü tarafı marka yazan yer uzun ömürlü gözükmüyor.,"[('çok kalitesiz', 'ORG'), ('Sürgülü', 'GPE')]"
tek usb çıkışı 12w toplamda 24w çıkışı var ben her usb çıkışında ayrı ayrı 24w var diye almıştım bilgi karmaşası var.,"[('tek usb', 'ORG'), ('12w', 'CARDINAL'), ('24w', 'DATE'), ('ben', 'PERSON'), ('usb çıkışında', 'PERSON'), ('24w', 'CARDINAL'), ('bilgi karmaşası var', 'PERSON')]"
"evet güzel anlatıldığı gibi alacaklara tavsiye Ederim kargonun UPS
olması ayrı bir güzel yuvarlak tepsi için özel arka kısminin çıkıntı
olması süper 💙💛💚💜","[('Ederim', 'ORG'), ('UPS', 'PRODUCT'), ('tepsi', 'GPE'), ('için', 'DATE'), ('💛💚', 'ORG')]"
"Yeni geldi. Ne çok büyük ne çok küçük. Fiyatı ucuz. İçi ışıklı değil,
büyük dezavantaj. Raflar büyük. Sesi orta. Tam sessiz diyemem. Mutfakta
olmalı yoksa gürültülü. Sonuç 7 raflıya göre ucuz","[('Yeni geldi', 'PERSON'), ('değil', 'PERSON'), ('Tam', 'PERSON')]"
"Çeyizim için aldım paketleme güzeldi, yalnız küçük doğrayıcının kapağı çevirince kapanmıyor normalde de o şekilde bilemiyorum. braun kalitesine güvenerek aldım inşallah yanıltmaz","[('Çeyizim', 'GPE'), ('paketleme güzeldi', 'PERSON'), ('yalnız küçük doğrayıcının kapağı', 'PERSON'), ('kalitesine güvenerek', 'PERSON'), ('inşallah', 'NORP')]"
"Ürün güzel, fena değil ancak paketleme namına hiçbir şey yoktu. Tost
makinesi ile birlikte almıştım, iki kutu farklı boyutlarda olmamasına
rağmen yan yana koyup streçe ve patlayan poşete sarıp bırakmışlar. Tost
makinem çalışmıyor ve değişim talep ettim. Ayrıca kargo alt kattaki ev
sahibime teslim etmiş, kimlik sormamış bile, beni telefonla arayan da
olmadı. Aldığım ürünlerin başkası tarafından açıkça görülebilir şekilde
paketlenmesinden rahatsız oldum.","[('fena değil', 'PERSON'), ('paketleme', 'PERSON'), ('hiçbir şey', 'PERSON'), ('iki kutu', 'ORG'), ('rağmen yan yana koyup', 'PERSON'), ('Tost\nmakinem', 'PERSON'), ('açıkça görülebilir şekilde\npaketlenmesinden', 'PERSON')]"
Geç geldi ama çok özenle paketlenmişti teşekkürler,"[('Geç geldi', 'PERSON'), ('çok özenle', 'PERSON')]"
"aynı  markayi kendi evimde kullanıyorum mennun olduğum icin anneme de aldim rengi birazfarklı geldi gri yerleri siyah ama daha güzel, çekim gücü gayet güzel çok araştırdım almadan once pişman değilim.","[('kendi evimde kullanıyorum mennun', 'PERSON'), ('geldi gri yerleri siyah', 'PERSON')]"
Ürün mükkemel tam istediğim gibi geldi kargo cok hızlı iki gunde ulasti elime cok saolun bereketli günler ☺,"[('mükkemel', 'GPE'), ('geldi kargo', 'PERSON'), ('cok hızlı', 'PERSON'), ('iki', 'ORG'), ('elime cok saolun bereketli günler', 'PERSON')]"
"geri ödeme kampanyasından yararlanmak istiyorsanız başka yerden alın.
çünkü Samsung bu mağaza ile anlaşma yok diye geri ödemeye dahil etmedi.
mağaza yanlış bilgi veriyor. o yüzden puanı düşük verdim.","[('istiyorsanız', 'GPE'), ('yerden alın.', 'PERSON'), ('Samsung', 'ORG'), ('mağaza', 'GPE'), ('yok diye', 'PERSON'), ('geri ödemeye dahil etmedi', 'PERSON'), ('mağaza', 'GPE'), ('yanlış bilgi', 'PERSON')]"
Kaliteli duruyor fakat teller bildiğiniz yer fırçası! çok sert neredeyse saç derinizi kaldıracak!,"[('Kaliteli', 'PERSON')]"
KAMERASI HIZI ÇOK İYİ ÇOK MEMNUNUM ŞİMDİLİK BİRAZ KÜÇÜK VE KASA EKRAN ORANI KÖTÜ GELİYOR AMA ALIŞIRIM İNŞ GENEL OLARAK GÜZEL UZUN YILLAR İŞİMİ GÖRÜR GİBİ,"[('KAMERASI', 'ORG')]"
"Hayal kırıklığına uğradım kız kardeşimin çok daha düşük modeli var halıları kaldırıyor süpürürken,ve benim süpürgem çekmiyor emiş gücü çok düşük bu çekiş gücüne bu ücret değmez.","[('Hayal', 'ORG'), ('kız kardeşimin', 'PERSON'), ('çok daha düşük', 'PRODUCT')]"
"Evimde 3 değişik marka klima var en son aldığım demirdöküm en fazla arızalanan demirdöküm diğerlerine anahtar bile değmemişken ilk hurdaya çıkan demirdöküm
kesinlikle tavsiye etmem","[('Evimde', 'PERSON'), ('3', 'CARDINAL'), ('klima var en son aldığım demirdöküm en', 'WORK_OF_ART'), ('çıkan', 'NORP'), ('demirdöküm\nkesinlikle', 'PERSON')]"
Çok güzel bir ürüm. Bana hediye geldi bayıldım.’,"[('Çok güzel', 'PERSON'), ('Bana', 'ORG'), ('geldi bayıldım', 'PERSON')]"
"10 gündür kullanıyorum,öncelikle çok çok hızlı kargo için amozon ve kargo şirketine teşekkürler1-Kulağa çok iyi oturuyor2-Ses seviyesi çok iyi en yüksek seste dahi ses kalitesi bozulmuyor3-Kablolar biraz narin gibi hissettiriyor4-Bas hakimiyeti çok fazla olduğu için kablosuz dinlediğim müziğin doğallığı yok5-Telefon konuşmasında kendi sesim baskın oluyor ,rahatsızlık veriyor,karşı tarafın sesi duymasında sorun yok","[('10', 'CARDINAL'), ('için', 'DATE'), ('kalitesi bozulmuyor3-Kablolar', 'PERSON'), ('hissettiriyor4-Bas', 'PRODUCT'), ('kablosuz dinlediğim', 'PERSON'), ('yok5-Telefon', 'PERSON'), ('kendi sesim', 'PERSON'), ('baskın oluyor', 'PERSON'), ('karşı', 'GPE'), ('duymasında', 'ORG')]"
ürün fiyatına göre normal standartta,[]
Olumsuz yönleri: Emiş gücünğ hiç beğenmedim,"[('Olumsuz', 'ORG')]"
"Bedava verseler bir daha almam.Aldigim gune lanet olsun.6 ayda basima gelenler:2 kere tablet kendini kitledi.Biri ankara serviste 3 gunde,digeri ist gen mer.de 20 günde yapildi.2 kez sarj soketi bozuldu.Su andada wifi sorunu basladi.Modemden 1 mt uzaklasinca cekmiyor.Cocuk kirsada keske yenisini alsam biktim lanet olacasi casperden.Daha kapimdan iceri sokmam.O memnunum diyenlerin yakinda feryatlarini duyariz","[('tablet kendini kitledi', 'PERSON'), ('3', 'CARDINAL'), ('20', 'CARDINAL'), ('yapildi.2', 'ORG'), ('sarj', 'ORG'), ('soketi bozuldu', 'PERSON'), ('andada', 'ORG'), ('Modemden 1', 'PERSON'), ('Cocuk', 'NORP'), ('keske yenisini', 'PERSON'), ('olacasi casperden', 'PERSON'), ('Daha kapimdan iceri', 'PERSON'), ('memnunum', 'GPE')]"
"Ürün elimize gayet güzel paketlenmiş ve tarihinden önce geldi. Gayet kaliteli orijinal bir ürün. Fakat tek sıkıntısı sesi aşırı yüksek, o kadar ki kulaklarımı çok rahatsız etti. Bu nedenle sabah erken saatlerde bir şey hazırlamak sıkıntı yaratabilir.","[('Gayet kaliteli', 'PERSON'), ('aşırı yüksek', 'PERSON'), ('kadar ki kulaklarımı çok', 'PERSON'), ('saatlerde', 'PERSON')]"
"Üründe bir sorun yok olması gerektiği gibi çalışıyor ama boşta dahi çok fazla ısınmakta. Benim işimde bu olduğu için farklı 3 farklı makinede ve 4 farklı işletim sisteminde test yaptım ve bunları paylaşıyorum. Vakit olduğumda inceleme test videosu da hazırlayıp paylaşacağım.- Tüm testler cihazlar fiziksel olarak temizlendikten ve sıfır kurulum yapıldıktan sonra yapılmıştır.- Her makinede Notebook soğutucu fan kullanılmıştır.- İşlemde kısımlarında diskten diskte 3 GB boyutunda veri transfer edilmiştir.- İşletim sistemlerinde sürücüler tam olarak kurulmuş ve tüm güncellemeler yapılmıştır.- Windows sürümleri için dosya sistemi NTFS, Linux için EXT4 olarak tercih edilmiştir.- Test yapılan ortam sıcaklığı normal oda sıcaklığı değerlerindedir.- Windows testlerinde Crystal Disk Info ve HD Tune, Linux testinde HDD Temp kullanılmıştır.Dell i3 - Windows 10 - Boşta : 49-50 derece - İşlemde : 54-58 derece aralığındaAcer i5 - Windows 10 - Boşta : 48-49 derece - İşlemde : 53-59 derece aralığındaToshiba i7 - Windows 10 - Boşta : 48-49 derece - İşlemde : 58-60 derece aralığındaDell i3 - Windows 8.1 - Boşta : 51-53 derece - İşlemde : 57-59 derece aralığındaAcer i5 - Windows 8.1 - Boşta : 50-52 derece - İşlemde : 56-60 derece aralığındaToshiba i7 - Windows 8.1 10 - Boşta : 49-50 derece - İşlemde : 58-62 derece aralığındaDell i3 - Windows 7 - Boşta : 48-49 derece - İşlemde : 53-54 derece aralığındaAcer i5 - Windows 7 - Boşta : 48-50 derece - İşlemde : 53-55 derece aralığındaToshiba i7 - Windows 7 Boşta : 50-51 derece - İşlemde : 56-59 derece aralığındaDell i3 - Arch Linux - Boşta : 40-41 derece - İşlemde : 43-48 derece aralığındaAcer i5 - Arch Linux - Boşta : 39-42 derece - İşlemde : 44-49 derece aralığındaToshiba i7 - Arch Linux - Boşta : 38-44 derece - İşlemde : 42-51 derece aralığında","[('Benim', 'PERSON'), ('3', 'CARDINAL'), ('4', 'CARDINAL'), ('Tüm', 'PERSON'), ('yapıldıktan sonra yapılmıştır.-', 'ORG'), ('kısımlarında', 'GPE'), ('3', 'CARDINAL'), ('GB', 'GPE'), ('Windows sürümleri', 'PERSON'), ('NTFS', 'ORG'), ('Linux', 'GPE'), ('EXT4 olarak', 'PERSON'), ('değerlerindedir.- Windows testlerinde Crystal Disk Info', 'WORK_OF_ART'), ('Dell i3 - Windows', 'ORG'), ('49-50', 'CARDINAL'), ('54', 'CARDINAL'), ('i5 - Windows', 'PRODUCT'), ('48-49', 'CARDINAL'), ('53-59', 'CARDINAL'), ('i7 - Windows', 'PRODUCT'), ('48-49', 'CARDINAL'), ('58', 'CARDINAL'), ('51', 'CARDINAL'), ('57', 'CARDINAL'), ('i5 - Windows', 'PRODUCT'), ('50-52', 'CARDINAL'), ('56-60', 'CARDINAL'), ('i7 - Windows', 'PRODUCT'), ('10 - Boşta', 'TIME'), ('49-50', 'CARDINAL'), ('58', 'CARDINAL'), ('48-49', 'CARDINAL'), ('53-54', 'CARDINAL'), ('i5 - Windows 7 - Boşta', 'PRODUCT'), ('48-50', 'CARDINAL'), ('53-55', 'CARDINAL'), ('i7 - Windows 7 Boşta', 'ORG'), ('50-51', 'CARDINAL'), ('56-59', 'CARDINAL'), ('40-41', 'CARDINAL'), ('43-48', 'CARDINAL'), ('Arch Linux - Boşta', 'PERSON'), ('39', 'CARDINAL'), ('44-49', 'CARDINAL'), ('i7 - Arch Linux - Boşta', 'PERSON'), ('38', 'CARDINAL'), ('42-51', 'CARDINAL'), ('aralığında', 'GPE')]"
